address,chain,role,label,attribution,attribution_confidence,first_seen,last_seen,total_received,reported_domain,reported_by,episode,post_url,tag,added
0x88c3d62860d59a51fa43adf84a20c040606ed3d6,ethereum,deposit address,ProDerivFx scam site deposit address (is itself an exchange deposit address),Bybit deposit address per Etherscan and Arkham,"vendor label, unverified",2024-06-25T23:45:11Z,2025-11-19T02:38:23Z,24083.271289 USDT; 2.553457859091488910 ETH,proderivfxt[.]com,scambuster.fr,THE LAST HOP #002,https://trxtr4c3r.substack.com/p/the-last-hop-002-they-skipped-the,#verified,2026-09-07
TSCcYez4hGLiDRna3kQXiwF6SbU6BX4GcL,tron,deposit address,"ProDerivFx scam site deposit address, USDT TRC-20 (is itself an exchange deposit address)",Bybit deposit address per Arkham and Tronscan,"vendor label, unverified",2025-03-31T18:14:30Z,2025-07-07T01:51:24Z,210.000000 USDT,proderivfxt[.]com,scambuster.fr,THE LAST HOP #002,https://trxtr4c3r.substack.com/p/the-last-hop-002-they-skipped-the,#verified,2026-09-07
1AvNHAYFJAbm6vQGvX7qy8VdzUTWm5LL62,bitcoin,deposit address,"ProDerivFx scam site deposit address, never funded",none,n/a,,,"0 BTC, zero transactions ever",proderivfxt[.]com,scambuster.fr,THE LAST HOP #002,https://trxtr4c3r.substack.com/p/the-last-hop-002-they-skipped-the,#verified,2026-09-07
0xf89d7b9c864f589bbf53a82105107622b35eaa40,ethereum,last hop,Destination of ProDerivFx collections (exchange hot wallet),Bybit hot wallet per Etherscan and Arkham,"vendor label, unverified",,,23576.407311 USDT; 2.493402347704121984 ETH from the collector,proderivfxt[.]com,scambuster.fr,THE LAST HOP #002,https://trxtr4c3r.substack.com/p/the-last-hop-002-they-skipped-the,#verified,2026-09-07
0x18e296053cbdf986196903e889b7dca7a73882f6,ethereum,last hop,Destination of ProDerivFx collections (exchange hot wallet),Bybit hot wallet per Etherscan and Arkham,"vendor label, unverified",,,506.863978 USDT from the collector,proderivfxt[.]com,scambuster.fr,THE LAST HOP #002,https://trxtr4c3r.substack.com/p/the-last-hop-002-they-skipped-the,#verified,2026-09-07
0xa1abfa21f80ecf401bd41365adbb6fef6fefdf09,ethereum,last hop,Destination of ProDerivFx collections (exchange hot wallet),Bybit hot wallet per Etherscan and Arkham,"vendor label, unverified",,,0.017538410880492449 ETH from the collector,proderivfxt[.]com,scambuster.fr,THE LAST HOP #002,https://trxtr4c3r.substack.com/p/the-last-hop-002-they-skipped-the,#verified,2026-09-07
TU4vEruvZwLLkSfV9bNw12EJTPvNr7Pvaa,tron,last hop,Destination of ProDerivFx collections (exchange hot wallet),Bybit hot wallet per Arkham and Tronscan,"vendor label, unverified",,,160.000000 USDT from the collector,proderivfxt[.]com,scambuster.fr,THE LAST HOP #002,https://trxtr4c3r.substack.com/p/the-last-hop-002-they-skipped-the,#verified,2026-09-07
bc1qk078dgjfkrxu6upw749krxp5j8v8rws0hf8d3m,bitcoin,deposit address,A1CryptoTradings scam site deposit address,none,n/a,,,0.01254526 BTC external inflow,a1cryptotradings[.]com,scambuster.fr,THE LAST HOP #001,https://trxtr4c3r.substack.com/p/the-fake-trading-platform-that-gave,#verified,2026-09-07
bc1q9ukttq2pkqn5x9nf6866dyajntfl7avnhv5q96,bitcoin,sibling collector,"A1CryptoTradings sibling collector, funded the deposit address first UTXO",none,n/a,,,,a1cryptotradings[.]com,scambuster.fr,THE LAST HOP #001,https://trxtr4c3r.substack.com/p/the-fake-trading-platform-that-gave,#verified,2026-09-07
14SdWrZ7e49sitF4yEuk5VR1kq9EumSEdW,bitcoin,last hop,Destination of A1CryptoTradings collections (exchange deposit address),CoinCola per Arkham,"vendor label, unverified",,,,a1cryptotradings[.]com,scambuster.fr,THE LAST HOP #001,https://trxtr4c3r.substack.com/p/the-fake-trading-platform-that-gave,#verified,2026-09-07
